,key_0,Site ID,Site Name,Project,Collected Date/Time,Collected Date,Collected Time,Analyte,Total/Dissolved,ChlA Value,Units,Comments,Qualifier,Method,Prepared Date/Time,Analyzed Date/Time,Start Depth,Start Depth Units,Sample ID,Agency,Permit No PS,DID No PS,Unnamed: 21,Nitrate Value
0,08/15/2017,20401,Pithlachascotee Pasco 5,P529,8/15/2017 1:00:00 PM,08/15/2017,13:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,10/19/2017 9:33:00 AM,10/19/2017 9:33:00 AM,0.5,m,200970045.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,11/02/2017,20401,Pithlachascotee Pasco 5,P529,11/2/2017 12:50:00 PM,11/02/2017,12:50,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/18/2017 11:44:00 AM,11/18/2017 11:44:00 AM,0.5,m,200982227.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.0
2,01/09/2018,20401,Pithlachascotee Pasco 5,P529,1/9/2018 12:30:00 PM,01/09/2018,12:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/29/2018 3:15:00 PM,1/29/2018 3:15:00 PM,0.5,m,200991187.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/24/2018,20401,Pithlachascotee Pasco 5,P529,4/24/2018 11:55:00 AM,04/24/2018,11:55,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/22/2018 7:58:00 AM,5/22/2018 7:58:00 AM,0.5,m,201000179.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.007
4,07/16/2018,20401,Pithlachascotee Pasco 5,P529,7/16/2018 11:30:00 AM,07/16/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/7/2018 7:12:00 AM,8/7/2018 7:12:00 AM,0.5,m,201009986.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,10/31/2018,20401,Pithlachascotee Pasco 5,P529,10/31/2018 11:25:00 AM,10/31/2018,11:25,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/27/2018 2:03:00 PM,11/27/2018 2:03:00 PM,0.5,m,201023626.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/08/2019,20401,Pithlachascotee Pasco 5,P529,1/8/2019 11:15:00 AM,01/08/2019,11:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/31/2019 7:33:00 AM,1/31/2019 7:33:00 AM,0.5,m,201033482.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/10/2019,20401,Pithlachascotee Pasco 5,P529,4/10/2019 11:00:00 AM,04/10/2019,11:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/10/2019 12:54:00 PM,5/10/2019 12:54:00 PM,0.5,m,201042624.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,07/23/2019,20401,Pithlachascotee Pasco 5,P529,7/23/2019 10:15:00 AM,07/23/2019,10:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/13/2019 10:58:00 AM,8/13/2019 10:58:00 AM,0.5,m,201053376.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
9,10/22/2019,20401,Pithlachascotee Pasco 5,P529,10/22/2019 10:20:00 AM,10/22/2019,10:20,Chlorophyll a (Total),Total,1.37,ug/L, N1,I,SM 10200 H,11/13/2019 2:49:00 PM,11/13/2019 2:49:00 PM,0.5,m,201063293.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/08/2017,20500,Hudson Pasco 3,P529,8/8/2017 10:30:00 AM,08/08/2017,10:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,9/27/2017 11:04:00 AM,9/27/2017 11:04:00 AM,0.5,m,200968769.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,10/24/2017,20500,Hudson Pasco 3,P529,10/24/2017 11:10:00 AM,10/24/2017,11:10,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,11/14/2017 11:55:00 AM,11/14/2017 11:55:00 AM,0.5,m,200982272.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.005
2,01/09/2018,20500,Hudson Pasco 3,P529,1/9/2018 11:30:00 AM,01/09/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/30/2018 10:19:00 AM,1/30/2018 10:19:00 AM,0.5,m,200991124.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,05/01/2018,20500,Hudson Pasco 3,P529,5/1/2018 11:30:00 AM,05/01/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/24/2018 2:52:00 PM,5/24/2018 2:52:00 PM,0.5,m,201000123.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,07/19/2018,20500,Hudson Pasco 3,P529,7/19/2018 11:30:00 AM,07/19/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/9/2018 2:34:00 PM,8/9/2018 2:34:00 PM,0.5,m,201009930.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,11/01/2018,20500,Hudson Pasco 3,P529,11/1/2018 11:20:00 AM,11/01/2018,11:20,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/29/2018 2:38:00 PM,11/29/2018 2:38:00 PM,0.5,m,201023570.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/07/2019,20500,Hudson Pasco 3,P529,1/7/2019 11:10:00 AM,01/07/2019,11:10,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/23/2019 11:21:00 AM,1/23/2019 11:21:00 AM,0.5,m,201033426.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/16/2019,20500,Hudson Pasco 3,P529,4/16/2019 11:30:00 AM,04/16/2019,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/20/2019 10:20:00 AM,5/20/2019 10:20:00 AM,0.5,m,201042539.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.008
8,10/21/2019,20500,Hudson Pasco 3,P529,10/21/2019 11:00:00 AM,10/21/2019,11:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/13/2019 9:42:00 AM,11/13/2019 9:42:00 AM,0.5,m,201063237.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.005
0,10/30/2017,20132,Withlacoochee Citrus 7,P529,10/30/2017 12:35:00 PM,10/30/2017,12:35,Chlorophyll a (Total),Total,9.17,ug/L, N1,,SM 10200 H,11/16/2017 2:36:00 PM,11/16/2017 2:36:00 PM,0.5,m,200982155.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.002
1,01/22/2018,20132,Withlacoochee Citrus 7,P529,1/22/2018 12:10:00 PM,01/22/2018,12:10,Chlorophyll a (Total),Total,4.52,ug/L, N1,,SM 10200 H,2/13/2018 10:27:00 AM,2/13/2018 10:27:00 AM,0.5,m,200990791.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
2,05/01/2018,20132,Withlacoochee Citrus 7,P529,5/1/2018 11:30:00 AM,05/01/2018,11:30,Chlorophyll a (Total),Total,4.03,ug/L, N1,,SM 10200 H,5/29/2018 7:24:00 AM,5/29/2018 7:24:00 AM,0.5,m,200999827.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,07/10/2018,20132,Withlacoochee Citrus 7,P529,7/10/2018 12:20:00 PM,07/10/2018,12:20,Chlorophyll a (Total),Total,3.02,ug/L, N1,I,SM 10200 H,8/3/2018 1:57:00 PM,8/3/2018 1:57:00 PM,0.5,m,201009634.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,10/16/2018,20132,Withlacoochee Citrus 7,P529,10/16/2018 12:00:00 PM,10/16/2018,12:00,Chlorophyll a (Total),Total,5.53,ug/L, N1,,SM 10200 H,10/29/2018 2:06:00 PM,10/29/2018 2:06:00 PM,0.5,m,201023274.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,01/09/2019,20132,Withlacoochee Citrus 7,P529,1/9/2019 10:50:00 AM,01/09/2019,10:50,Chlorophyll a (Total),Total,10.6,ug/L, N1,,SM 10200 H,2/5/2019 9:47:00 AM,2/5/2019 9:47:00 AM,0.5,m,201033130.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.019
6,04/10/2019,20132,Withlacoochee Citrus 7,P529,4/10/2019 12:15:00 PM,04/10/2019,12:15,Chlorophyll a (Total),Total,4.27,ug/L, N1,Q,SM 10200 H,5/10/2019 12:54:00 PM,5/10/2019 12:54:00 PM,0.5,m,201042231.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,07/31/2019,20132,Withlacoochee Citrus 7,P529,7/31/2019 10:45:00 AM,07/31/2019,10:45,Chlorophyll a (Total),Total,3.6,ug/L, N1,I,SM 10200 H,8/20/2019 1:22:00 PM,8/20/2019 1:22:00 PM,0.5,m,201052993.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,10/28/2019,20132,Withlacoochee Citrus 7,P529,10/28/2019 11:40:00 AM,10/28/2019,11:40,Chlorophyll a (Total),Total,15.4,ug/L, N1,,SM 10200 H,11/21/2019 10:19:00 AM,11/21/2019 10:19:00 AM,0.5,m,201062941.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.034
0,08/09/2017,20399,Anclote Pasco 4,P529,8/9/2017 11:55:00 AM,08/09/2017,11:55,Chlorophyll a (Total),Total,29.5,ug/L, N1,Q,SM 10200 H,9/5/2017 2:52:00 PM,9/5/2017 2:52:00 PM,0.5,m,200968985.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,10/23/2017,20399,Anclote Pasco 4,P529,10/23/2017 1:45:00 PM,10/23/2017,13:45,Chlorophyll a (Total),Total,6.43,ug/L, N1,,SM 10200 H,11/8/2017 11:27:00 AM,11/8/2017 11:27:00 AM,0.5,m,200982479.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.003
2,01/08/2018,20399,Anclote Pasco 4,P529,1/8/2018 11:50:00 AM,01/08/2018,11:50,Chlorophyll a (Total),Total,1.26,ug/L, N1,I,SM 10200 H,1/29/2018 10:14:00 AM,1/29/2018 10:14:00 AM,0.5,m,200991259.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/30/2018,20399,Anclote Pasco 4,P529,4/30/2018 11:20:00 AM,04/30/2018,11:20,Chlorophyll a (Total),Total,1.04,ug/L, N1,I,SM 10200 H,5/24/2018 12:02:00 PM,5/24/2018 12:02:00 PM,0.5,m,201000243.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,07/09/2018,20399,Anclote Pasco 4,P529,7/9/2018 11:35:00 AM,07/09/2018,11:35,Chlorophyll a (Total),Total,3.08,ug/L, N1,I,SM 10200 H,8/2/2018 2:15:00 PM,8/2/2018 2:15:00 PM,0.5,m,201010050.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,10/15/2018,20399,Anclote Pasco 4,P529,10/15/2018 11:10:00 AM,10/15/2018,11:10,Chlorophyll a (Total),Total,2.93,ug/L, N1,I,SM 10200 H,10/24/2018 8:03:00 AM,10/24/2018 8:03:00 AM,0.5,m,201023690.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/10/2019,20399,Anclote Pasco 4,P529,1/10/2019 11:10:00 AM,01/10/2019,11:10,Chlorophyll a (Total),Total,12.6,ug/L, N1,,SM 10200 H,2/6/2019 11:42:00 AM,2/6/2019 11:42:00 AM,0.5,m,201033546.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/08/2019,20399,Anclote Pasco 4,P529,4/8/2019 11:10:00 AM,04/08/2019,11:10,Chlorophyll a (Total),Total,1.6,ug/L, N1,QI,SM 10200 H,5/10/2019 1:56:00 PM,5/10/2019 1:56:00 PM,0.5,m,201042688.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,08/01/2019,20399,Anclote Pasco 4,P529,8/1/2019 12:10:00 PM,08/01/2019,12:10,Chlorophyll a (Total),Total,2.46,ug/L, N1,I,SM 10200 H,8/27/2019 11:39:00 AM,8/27/2019 11:39:00 AM,0.5,m,201053440.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
9,10/28/2019,20399,Anclote Pasco 4,P529,10/28/2019 10:50:00 AM,10/28/2019,10:50,Chlorophyll a (Total),Total,1.91,ug/L, N1,I,SM 10200 H,11/22/2019 12:17:00 PM,11/22/2019 12:17:00 PM,0.5,m,201063357.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
10,01/13/2020,20399,Anclote Pasco 4,P529,1/13/2020 11:05:00 AM,01/13/2020,11:05,Chlorophyll a (Total),Total,3.44,ug/L, N1,I,SM 10200 H,2/5/2020 1:55:00 PM,2/5/2020 1:55:00 PM,0.5,m,201072923.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/15/2017,20404,Pithlachascotee Pasco 8,P529,8/15/2017 12:00:00 PM,08/15/2017,12:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,10/19/2017 9:33:00 AM,10/19/2017 9:33:00 AM,0.5,m,200970063.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,11/02/2017,20404,Pithlachascotee Pasco 8,P529,11/2/2017 1:15:00 PM,11/02/2017,13:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/18/2017 11:44:00 AM,11/18/2017 11:44:00 AM,0.5,m,200982245.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.0
2,01/09/2018,20404,Pithlachascotee Pasco 8,P529,1/9/2018 12:05:00 PM,01/09/2018,12:05,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/29/2018 3:15:00 PM,1/29/2018 3:15:00 PM,0.5,m,200991205.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/24/2018,20404,Pithlachascotee Pasco 8,P529,4/24/2018 11:30:00 AM,04/24/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/22/2018 7:58:00 AM,5/22/2018 7:58:00 AM,0.5,m,201000195.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,07/16/2018,20404,Pithlachascotee Pasco 8,P529,7/16/2018 12:15:00 PM,07/16/2018,12:15,Chlorophyll a (Total),Total,1.12,ug/L, N1,I,SM 10200 H,8/7/2018 7:12:00 AM,8/7/2018 7:12:00 AM,0.5,m,201010002.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,10/31/2018,20404,Pithlachascotee Pasco 8,P529,10/31/2018 12:05:00 PM,10/31/2018,12:05,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/27/2018 2:03:00 PM,11/27/2018 2:03:00 PM,0.5,m,201023642.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/08/2019,20404,Pithlachascotee Pasco 8,P529,1/8/2019 11:45:00 AM,01/08/2019,11:45,Chlorophyll a (Total),Total,1.36,ug/L, N1,I,SM 10200 H,1/31/2019 7:33:00 AM,1/31/2019 7:33:00 AM,0.5,m,201033498.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
