,key_0,Site ID,Site Name,Project,Collected Date/Time,Collected Date,Collected Time,Analyte,Total/Dissolved,ChlA Value,Units,Comments,Qualifier,Method,Prepared Date/Time,Analyzed Date/Time,Start Depth,Start Depth Units,Sample ID,Agency,Permit No PS,DID No PS,Unnamed: 21,Nitrate Value
7,04/10/2019,20404,Pithlachascotee Pasco 8,P529,4/10/2019 11:55:00 AM,04/10/2019,11:55,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/13/2019 12:05:00 PM,5/13/2019 12:05:00 PM,0.5,m,201042640.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,07/23/2019,20404,Pithlachascotee Pasco 8,P529,7/23/2019 10:40:00 AM,07/23/2019,10:40,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/13/2019 12:28:00 PM,8/13/2019 12:28:00 PM,0.5,m,201053392.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
9,10/22/2019,20404,Pithlachascotee Pasco 8,P529,10/22/2019 10:45:00 AM,10/22/2019,10:45,Chlorophyll a (Total),Total,1.61,ug/L, N1,I,SM 10200 H,11/13/2019 2:49:00 PM,11/13/2019 2:49:00 PM,0.5,m,201063309.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.01
0,08/09/2017,20400,Anclote Pasco 1,P529,8/9/2017 11:00:00 AM,08/09/2017,11:00,Chlorophyll a (Total),Total,4.84,ug/L, N1,Q,SM 10200 H,9/5/2017 2:52:00 PM,9/5/2017 2:52:00 PM,0.5,m,200968949.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,10/23/2017,20400,Anclote Pasco 1,P529,10/23/2017 2:15:00 PM,10/23/2017,14:15,Chlorophyll a (Total),Total,6.18,ug/L, N1,,SM 10200 H,11/8/2017 11:27:00 AM,11/8/2017 11:27:00 AM,0.5,m,200982443.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
2,01/08/2018,20400,Anclote Pasco 1,P529,1/8/2018 10:45:00 AM,01/08/2018,10:45,Chlorophyll a (Total),Total,1.95,ug/L, N1,I,SM 10200 H,1/29/2018 10:14:00 AM,1/29/2018 10:14:00 AM,0.5,m,200991277.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/30/2018,20400,Anclote Pasco 1,P529,4/30/2018 11:00:00 AM,04/30/2018,11:00,Chlorophyll a (Total),Total,1.13,ug/L, N1,I,SM 10200 H,5/24/2018 12:02:00 PM,5/24/2018 12:02:00 PM,0.5,m,201000259.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,07/09/2018,20400,Anclote Pasco 1,P529,7/9/2018 11:15:00 AM,07/09/2018,11:15,Chlorophyll a (Total),Total,2.86,ug/L, N1,I,SM 10200 H,8/2/2018 2:15:00 PM,8/2/2018 2:15:00 PM,0.5,m,201010066.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,10/15/2018,20400,Anclote Pasco 1,P529,10/15/2018 10:50:00 AM,10/15/2018,10:50,Chlorophyll a (Total),Total,3.97,ug/L, N1,I,SM 10200 H,10/24/2018 1:58:00 PM,10/24/2018 1:58:00 PM,0.5,m,201023706.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.009
6,01/10/2019,20400,Anclote Pasco 1,P529,1/10/2019 1:10:00 PM,01/10/2019,13:10,Chlorophyll a (Total),Total,14.4,ug/L, N1,,SM 10200 H,2/6/2019 11:42:00 AM,2/6/2019 11:42:00 AM,0.5,m,201033562.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/08/2019,20400,Anclote Pasco 1,P529,4/8/2019 10:45:00 AM,04/08/2019,10:45,Chlorophyll a (Total),Total,2.43,ug/L, N1,QI,SM 10200 H,5/10/2019 1:56:00 PM,5/10/2019 1:56:00 PM,0.3,m,201042704.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,08/01/2019,20400,Anclote Pasco 1,P529,8/1/2019 12:40:00 PM,08/01/2019,12:40,Chlorophyll a (Total),Total,4.47,ug/L, N1,,SM 10200 H,8/27/2019 11:39:00 AM,8/27/2019 11:39:00 AM,0.5,m,201053456.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
9,10/28/2019,20400,Anclote Pasco 1,P529,10/28/2019 10:20:00 AM,10/28/2019,10:20,Chlorophyll a (Total),Total,3.45,ug/L, N1,I,SM 10200 H,11/22/2019 12:17:00 PM,11/22/2019 12:17:00 PM,0.5,m,201063373.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
10,01/13/2020,20400,Anclote Pasco 1,P529,1/13/2020 1:45:00 PM,01/13/2020,13:45,Chlorophyll a (Total),Total,3.2,ug/L, N1,I,SM 10200 H,2/7/2020 11:27:00 AM,2/7/2020 11:27:00 AM,0.5,m,201072939.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/08/2017,20499,Hudson Pasco 7,P529,8/8/2017 12:45:00 PM,08/08/2017,12:45,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,9/27/2017 11:04:00 AM,9/27/2017 11:04:00 AM,0.5,m,200968814.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
1,10/24/2017,20499,Hudson Pasco 7,P529,10/24/2017 1:30:00 PM,10/24/2017,13:30,Chlorophyll a (Total),Total,1.91,ug/L, N1,I,SM 10200 H,11/8/2017 9:53:00 AM,11/8/2017 9:53:00 AM,0.5,m,200982308.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.005
2,01/09/2018,20499,Hudson Pasco 7,P529,1/9/2018 1:30:00 PM,01/09/2018,13:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/29/2018 3:15:00 PM,1/29/2018 3:15:00 PM,0.48,m,200991160.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.007
3,05/01/2018,20499,Hudson Pasco 7,P529,5/1/2018 1:15:00 PM,05/01/2018,13:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/24/2018 2:52:00 PM,5/24/2018 2:52:00 PM,0.5,m,201000155.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,07/19/2018,20499,Hudson Pasco 7,P529,7/19/2018 12:50:00 PM,07/19/2018,12:50,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/9/2018 2:34:00 PM,8/9/2018 2:34:00 PM,0.5,m,201009962.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,11/01/2018,20499,Hudson Pasco 7,P529,11/1/2018 1:00:00 PM,11/01/2018,13:00,Chlorophyll a (Total),Total,1.39,ug/L, N1,I,SM 10200 H,11/27/2018 2:58:00 PM,11/27/2018 2:58:00 PM,0.42,m,201023602.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/07/2019,20499,Hudson Pasco 7,P529,1/7/2019 12:50:00 PM,01/07/2019,12:50,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/23/2019 11:21:00 AM,1/23/2019 11:21:00 AM,0.5,m,201033458.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.029
7,04/16/2019,20499,Hudson Pasco 7,P529,4/16/2019 1:40:00 PM,04/16/2019,13:40,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/20/2019 10:20:00 AM,5/20/2019 10:20:00 AM,0.5,m,201042600.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.005
8,10/21/2019,20499,Hudson Pasco 7,P529,10/21/2019 3:30:00 PM,10/21/2019,15:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/13/2019 9:42:00 AM,11/13/2019 9:42:00 AM,0.45,m,201063269.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/09/2017,20564,Weeki Wachee Hernando 7,P529,8/9/2017 10:20:00 AM,08/09/2017,10:20,Chlorophyll a (Total),Total,1.3,ug/L, N1,QI,SM 10200 H,9/6/2017 2:55:00 PM,9/6/2017 2:55:00 PM,0.5,m,200967660.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.006
1,10/25/2017,20564,Weeki Wachee Hernando 7,P529,10/25/2017 11:30:00 AM,10/25/2017,11:30,Chlorophyll a (Total),Total,2.98,ug/L, N1,QI,SM 10200 H,11/15/2017 2:53:00 PM,11/15/2017 2:53:00 PM,0.34,m,200982362.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.138
2,01/11/2018,20564,Weeki Wachee Hernando 7,P529,1/11/2018 11:15:00 AM,01/11/2018,11:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/31/2018 1:46:00 PM,1/31/2018 1:46:00 PM,0.5,m,200991007.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.049
3,05/01/2018,20564,Weeki Wachee Hernando 7,P529,5/1/2018 11:30:00 AM,05/01/2018,11:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/29/2018 7:24:00 AM,5/29/2018 7:24:00 AM,0.5,m,201000019.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.039
4,07/25/2018,20564,Weeki Wachee Hernando 7,P529,7/25/2018 1:00:00 PM,07/25/2018,13:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/16/2018 3:05:00 PM,8/16/2018 3:05:00 PM,0.5,m,201009826.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.008
5,10/31/2018,20564,Weeki Wachee Hernando 7,P529,10/31/2018 11:10:00 AM,10/31/2018,11:10,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/28/2018 11:23:00 AM,11/28/2018 11:23:00 AM,0.32,m,201023466.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.01
6,01/07/2019,20564,Weeki Wachee Hernando 7,P529,1/7/2019 1:00:00 PM,01/07/2019,13:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/24/2019 2:56:00 PM,1/24/2019 2:56:00 PM,0.5,m,201033322.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.106
7,04/17/2019,20564,Weeki Wachee Hernando 7,P529,4/17/2019 11:15:00 AM,04/17/2019,11:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/17/2019 9:32:00 AM,5/17/2019 9:32:00 AM,0.5,m,201042435.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.016
8,10/30/2019,20564,Weeki Wachee Hernando 7,P529,10/30/2019 11:15:00 AM,10/30/2019,11:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/25/2019 2:27:00 PM,11/25/2019 2:27:00 PM,0.3,m,201063133.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.061
0,10/16/2017,20941,Crystal Citrus 8,P529,10/16/2017 12:30:00 PM,10/16/2017,12:30,Chlorophyll a (Total),Total,1.94,ug/L, N1,QI,SM 10200 H,11/7/2017 3:11:00 PM,11/7/2017 3:11:00 PM,0.5,m,200981843.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.001
1,01/16/2018,20941,Crystal Citrus 8,P529,1/16/2018 12:55:00 PM,01/16/2018,12:55,Chlorophyll a (Total),Total,1.05,ug/L, N1,I,SM 10200 H,2/1/2018 2:38:00 PM,2/1/2018 2:38:00 PM,0.5,m,200990863.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
2,04/25/2018,20941,Crystal Citrus 8,P529,4/25/2018 10:30:00 AM,04/25/2018,10:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/1/2018 2:53:00 PM,5/1/2018 2:53:00 PM,0.5,m,200999891.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,07/11/2018,20941,Crystal Citrus 8,P529,7/11/2018 12:15:00 PM,07/11/2018,12:15,Chlorophyll a (Total),Total,1.95,ug/L, N1,I,SM 10200 H,8/3/2018 11:25:00 AM,8/3/2018 11:25:00 AM,0.5,m,201009698.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,10/04/2018,20941,Crystal Citrus 8,P529,10/4/2018 11:20:00 AM,10/04/2018,11:20,Chlorophyll a (Total),Total,5.48,ug/L, N1,,SM 10200 H,10/12/2018 9:27:00 AM,10/12/2018 9:27:00 AM,0.5,m,201023338.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,01/09/2019,20941,Crystal Citrus 8,P529,1/9/2019 12:00:00 PM,01/09/2019,12:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,2/5/2019 9:47:00 AM,2/5/2019 9:47:00 AM,0.25,m,201033194.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,04/17/2019,20941,Crystal Citrus 8,P529,4/17/2019 12:30:00 PM,04/17/2019,12:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/17/2019 9:32:00 AM,5/17/2019 9:32:00 AM,0.5,m,201042295.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,10/29/2019,20941,Crystal Citrus 8,P529,10/29/2019 11:50:00 AM,10/29/2019,11:50,Chlorophyll a (Total),Total,1.86,ug/L, N1,I,SM 10200 H,11/25/2019 1:09:00 PM,11/25/2019 1:09:00 PM,0.5,m,201063005.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/14/2017,21055,Homosassa Citrus 6,P529,8/14/2017 12:00:00 PM,08/14/2017,12:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,10/19/2017 8:26:00 AM,10/19/2017 8:26:00 AM,0.5,m,200969596.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.008
1,10/12/2017,21055,Homosassa Citrus 6,P529,10/12/2017 12:45:00 PM,10/12/2017,12:45,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,11/3/2017 10:17:00 AM,11/3/2017 10:17:00 AM,0.5,m,200980112.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.014
2,01/09/2018,21055,Homosassa Citrus 6,P529,1/9/2018 11:45:00 AM,01/09/2018,11:45,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/30/2018 10:19:00 AM,1/30/2018 10:19:00 AM,0.5,m,200990872.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/23/2018,21055,Homosassa Citrus 6,P529,4/23/2018 10:50:00 AM,04/23/2018,10:50,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/10/2018 7:23:00 AM,5/10/2018 7:23:00 AM,0.5,m,200999899.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,08/02/2018,21055,Homosassa Citrus 6,P529,8/2/2018 11:00:00 AM,08/02/2018,11:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/21/2018 1:32:00 PM,8/21/2018 1:32:00 PM,0.5,m,201009706.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.014
5,10/03/2018,21055,Homosassa Citrus 6,P529,10/3/2018 12:20:00 PM,10/03/2018,12:20,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,10/12/2018 2:24:00 PM,10/12/2018 2:24:00 PM,0.5,m,201023346.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/10/2019,21055,Homosassa Citrus 6,P529,1/10/2019 11:20:00 AM,01/10/2019,11:20,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,2/5/2019 7:16:00 AM,2/5/2019 7:16:00 AM,0.33,m,201033202.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/11/2019,21055,Homosassa Citrus 6,P529,4/11/2019 1:30:00 PM,04/11/2019,13:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/13/2019 2:33:00 PM,5/13/2019 2:33:00 PM,0.5,m,201042303.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,10/23/2019,21055,Homosassa Citrus 6,P529,10/23/2019 12:15:00 PM,10/23/2019,12:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/12/2019 1:28:00 PM,11/12/2019 1:28:00 PM,0.5,m,201063013.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.011
